instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_3_1d,signal_3_7d,signal_3_31d
341249,1333,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,NSE,NSE,1.2374999999999972,0.8552356901928597,0.6467550330557074
5181953,20242,OBEROIRLTY,OBEROI REALTY,0,,0,0.05,1,EQ,NSE,NSE,0.6831275720164649,0.6137029423515113,0.5598641204014767
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,1.7222222222222354,1.0387311101596683,0.5342044238292472
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,1.1902748414376325,1.0998598049008501,0.46281016611094805
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,-0.8560606060606168,0.7575527603151918,0.3843418886883822
952577,3721,TATACOMM,TATA COMMUNICATIONS,0,,0,0.05,1,EQ,NSE,NSE,0.7000000000000053,0.593594883028983,0.38009552646066036
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,1.0,2.3158263305322566,0.37392154883832257
2748929,10738,OFSS,ORACLE FIN SERV SOFT.,0,,0,0.05,1,EQ,NSE,NSE,-0.6099137931034919,0.07422147258255371,0.3646927872999842
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,-1.4351145038168178,-0.3251641705951593,0.35828252840425917
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,-0.7806451612903167,0.4182273563431668,0.3569791653712442
3329,13,ABB,ABB INDIA,0,,0,0.05,1,EQ,NSE,NSE,-0.31730769230763345,0.19485363442196357,0.328167762209819
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,-0.8969465648854713,0.7646641744915162,0.2939832357313289
4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0,0.05,1,EQ,NSE,NSE,-1.4828375286040776,-0.7508009187096694,0.29156432537509536
6191105,24184,PIIND,PI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,-0.5834464043419333,0.0406570946763826,0.2784138687684106
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,1.386363636363623,0.9381029684601087,0.27833624143495406
3520257,13751,NAUKRI,INFO EDGE (I),0,,0,0.05,1,EQ,NSE,NSE,1.9345372460496302,0.030585732216197314,0.2764918497587377
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,1.2765957446809004,1.2241963512620633,0.2749032738358873
877057,3426,TATAPOWER,TATA POWER CO,0,,0,0.05,1,EQ,NSE,NSE,0.9047619047618841,1.1414681159708375,0.2739455532897054
4752385,18564,LTTS,L&T TECHNOLOGY SER..,0,,0,0.05,1,EQ,NSE,NSE,-1.5711864406779474,1.1880434581070232,0.2673316695002794
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE,-1.91943127962082,0.1630949817342801,0.2579959038484331
1723649,6733,JINDALSTEL,JINDAL STEEL & POWER,0,,0,0.05,1,EQ,NSE,NSE,-0.263803680981593,1.0894743935310045,0.2527667917637084
2674433,10447,MCDOWELL-N,UNITED SPIRITS,0,,0,0.05,1,EQ,NSE,NSE,0.8350515463917588,-0.37538857637792494,0.23271989250562827
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,0.43749999999998523,0.790796455617967,0.2283900419676908
2939649,11483,LT,LARSEN & TOUBRO.,0,,0,0.05,1,EQ,NSE,NSE,-1.154285714285704,-0.2960286324197221,0.22318648923817788
4488705,17534,MGL,MAHANAGAR GAS.,0,,0,0.05,1,EQ,NSE,NSE,-0.4090909090909114,0.39638726946867847,0.21861842523220168
2452737,9581,METROPOLIS,METROPOLIS HEALTHCARE,0,,0,0.05,1,EQ,NSE,NSE,-0.624266144814084,0.15890704838064235,0.21808621409986334
2977281,11630,NTPC,NTPC,0,,0,0.05,1,EQ,NSE,NSE,0.4404761904761836,1.1671490818549486,0.21598746813125264
2455041,9590,POLYCAB,POLYCAB INDIA,0,,0,0.05,1,EQ,NSE,NSE,-1.782300884955765,0.4857420657434543,0.21076374953526272
2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0,,0,0.05,1,EQ,NSE,NSE,-1.2211350293541994,-0.4672627222022494,0.20018786301461325
681985,2664,PIDILITIND,PIDILITE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,-1.4999999999996751,-0.14885081937095615,0.18671821061644422
98049,383,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,NSE,NSE,-0.857142857142863,0.7461370262390702,0.18512772724902096
60417,236,ASIANPAINT,ASIAN PAINTS,0,,0,0.05,1,EQ,NSE,NSE,0.6845637583892663,0.7966777848577097,0.18509656687623066
1102337,4306,SHRIRAMFIN,SHRIRAM FINANCE,0,,0,0.05,1,EQ,NSE,NSE,-1.4827586206896815,1.2551866630097608,0.17716714228603467
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,-1.6465517241379362,-0.28688451832579986,0.1753232332002491
871681,3405,TATACHEM,TATA CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE,-1.062499999999929,0.01864904757856578,0.17465867371840677
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,,0,0.05,1,EQ,NSE,NSE,-0.8722222222222193,-0.18377310254438534,0.16673400014884338
4632577,18096,JUBLFOOD,JUBILANT FOODWORKS,0,,0,0.05,1,EQ,NSE,NSE,1.0416666666666765,0.5761604641856772,0.16586330815469835
633601,2475,ONGC,OIL AND NATURAL GAS CORP.,0,,0,0.05,1,EQ,NSE,NSE,-1.2978723404255315,0.21945175830691438,0.15984812996236383
387073,1512,INDHOTEL,THE INDIAN HOTELS CO.,0,,0,0.05,1,EQ,NSE,NSE,0.9128440366972442,0.5560209309507381,0.14117235120917382
7458561,29135,INDUSTOWER,INDUS TOWERS,0,,0,0.05,1,EQ,NSE,NSE,0.19999999999999496,0.1753318136075071,0.14056921341115453
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE,-1.0348258706467572,0.05067680124323464,0.1349073654067036
895745,3499,TATASTEEL,TATA STEEL,0,,0,0.05,1,EQ,NSE,NSE,-1.0714285714285858,0.6355197597433726,0.13212656044387464
3876097,15141,COLPAL,COLGATE PALMOLIVE.,0,,0,0.05,1,EQ,NSE,NSE,-0.8825995807127993,0.1489473568116244,0.11478867626291583
2763265,10794,CANBK,CANARA BANK,0,,0,0.05,1,EQ,NSE,NSE,-1.524590163934422,1.0897733644789953,0.11346404383585734
2865921,11195,INDIGO,INTERGLOBE AVIATION,0,,0,0.05,1,EQ,NSE,NSE,-1.516853932584254,-0.9041093642827844,0.09787355542549848
2730497,10666,PNB,PUNJAB NATIONAL BANK,0,,0,0.05,1,EQ,NSE,NSE,-2.0,0.7826725905673418,0.0950483793867356
4774913,18652,ICICIPRULI,ICICI PRU LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,-0.7662337662337666,0.07610582633625648,0.08411601997223514
486657,1901,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,NSE,NSE,-1.6148148148148282,-0.43933902371931893,0.07583573210681947
348929,1363,HINDALCO,HINDALCO  INDUSTRIES ,0,,0,0.05,1,EQ,NSE,NSE,-1.4426229508196862,-0.4137262721668701,0.07573658565480254
