instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1_1d,signal_2_1d,signal_3_1d,signal_1_7d,signal_2_7d,signal_3_7d,signal_1_31d,signal_2_31d,signal_3_31d
315393,1232,GRASIM,GRASIM INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,-1.270718232,0.568904188,0.25,0.774969338,0.621365462,0.3,0.019396715
94977,371,BATAINDIA,BATA INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,-1.31372549,0.468617326,0,-0.309584398,0.575494235,0.15,-0.493423025
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-1.350877193,0.521583477,0.25,0.260926181,0.592615624,0.2,-0.050501588
794369,3103,SHREECEM,SHREE CEMENT,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,-1.439649908,0.524658635,0.25,0.582183167,0.630299262,0.5,-0.269004523
5181953,20242,OBEROIRLTY,OBEROI REALTY,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,-1.442857143,0.565094664,0.25,0.420639174,0.613623526,0.35,0.55172448
895745,3499,TATASTEEL,TATA STEEL,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-1.5,0.563488239,0.5,1.203416149,0.575411323,0.2,0.125001428
119553,467,HDFCLIFE,HDFC LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,-1.5,0.490005737,0,-0.214553481,0.604409898,0.3,-0.157572425
897537,3506,TITAN,TITAN COMPANY,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,-1.525510204,0.523557085,0.25,-0.652168494,0.622308589,0.35,-0.268941817
975873,3812,ZEEL,ZEE ENTERTAINMENT ENT,0,,0,0.05,1,EQ,NSE,NSE,0.698795181,0,-1.555555556,0.47697074,0.25,-0.195526696,0.533509522,0.05,-0.757669144
3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-1.56043956,0.573448078,0.5,0.284747428,0.616369996,0.4,-0.261757519
2939649,11483,LT,LARSEN & TOUBRO.,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-1.607508532,0.562019507,0.5,0.07275744,0.645617308,0.55,0.226761899
7458561,29135,INDUSTOWER,INDUS TOWERS,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-1.632352941,0.559311532,0.5,0.504010099,0.630382174,0.3,0.234044772
356865,1394,HINDUNILVR,HINDUSTAN UNILEVER.,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,-1.646226415,0.575283993,0.75,0.257091876,0.621085633,0.4,-0.172814977
6401,25,ADANIENT,ADANI ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,-1.65,0.547148594,0.25,0.532033849,0.601829252,0.25,-0.369207776
4561409,17818,LTIM,LTIMINDTREE,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-1.659400545,0.532644865,0.25,-0.425542784,0.612317658,0.35,-0.688593603
3001089,11723,JSWSTEEL,JSW STEEL,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-1.693548387,0.550590935,0.25,0.871462134,0.599165695,0.25,-0.114893178
4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-1.72,0.513597246,0.25,0.339135682,0.57360798,0.2,-0.177715947
492033,1922,KOTAKBANK,KOTAK MAHINDRA BANK,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-1.892241379,0.513597246,0.25,-0.822114971,0.620919808,0.35,0.037656197
1346049,5258,INDUSINDBK,INDUSIND BANK,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,-1.951724138,0.569271371,0.5,0.012834586,0.624889234,0.35,-0.037486738
2883073,11262,IGL,INDRAPRASTHA GAS,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,-1.96969697,0.509053356,0,0.20098403,0.600108822,0.15,0.144400158
345089,1348,HEROMOTOCO,HERO MOTOCORP,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-2.03343465,0.566930579,0.25,-0.096125572,0.616618733,0.35,-0.352156447
359937,1406,HINDPETRO,HINDUSTAN PETROLEUM CORP,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-2.136363636,0.544073437,0.5,0.036942798,0.595113357,0.2,-0.172086106
103425,404,BERGEPAINT,BERGER PAINTS (I),0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-2.17721519,0.548250143,0.5,0.179087559,0.591755409,0.3,-0.214356646
5582849,21808,SBILIFE,SBI LIFE INSURANCE CO,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,-2.223140496,0.528468158,0.25,-0.667726606,0.595890659,0.2,-0.376504906
2029825,7929,ZYDUSLIFE,ZYDUS LIFESCIENCES,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-2.278481013,0.494549627,0.25,-0.712833448,0.624360668,0.55,-0.023434078
738561,2885,RELIANCE,RELIANCE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-2.283505155,0.520114745,0,-0.621981694,0.627552792,0.35,-0.310158096
177665,694,CIPLA,CIPLA,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,-2.508571429,0.550958118,0.25,-0.499011312,0.614732478,0.35,-0.351538769
2672641,10440,LUPIN,LUPIN,0,,0,0.05,1,EQ,NSE,NSE,0.602409639,0,-2.693181818,0.474629948,0.25,-0.396259814,0.585454074,0.35,-0.347892405
579329,2263,BANDHANBNK,BANDHAN BANK,0,,0,0.05,1,EQ,NSE,NSE,0.626506024,0,-2.875,0.466643718,0.25,-0.368878854,0.535478689,0.1,-1.012310921
2170625,8479,TVSMOTOR,TVS MOTOR COMPANY ,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,-2.901197605,0.533379231,0.5,-0.923556474,0.619365203,0.5,-0.570813861
4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-2.982926829,0.529202524,0.25,-0.648140851,0.645088742,0.45,0.388862512
3463169,13528,GMRINFRA,GMR AIRPORTS INFRA,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-3,0.430154905,0,0.238961039,0.53068014,0.05,-0.473148441
4583169,17903,ABBOTINDIA,ABBOTT INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,-3.068965517,0.558944349,0.75,-0.275972698,0.576965928,0.25,-0.813058355
4598529,17963,NESTLEIND,NESTLE INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,-3.201698514,0.54788296,0.5,-0.207221218,0.626081099,0.35,-0.227197481
3771393,14732,DLF,DLF,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,-3.444444444,0.595938038,0.5,0.054152628,0.614566654,0.3,-0.167076161
2995969,11703,ALKEM,ALKEM LABORATORIES.,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,-3.503546099,0.524291452,0.25,-0.540223543,0.604409898,0.25,-0.540933026
2952193,11532,ULTRACEMCO,ULTRATECH CEMENT,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,-3.699407282,0.555134825,0.5,0.35000495,0.612234745,0.3,-0.463726688
4576001,17875,GODREJPROP,GODREJ PROPERTIES,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-4.063583815,0.54444062,0.25,0.601409514,0.623583366,0.35,-0.121463674
5552641,21690,DIXON,DIXON TECHNO (INDIA),0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,-4.101019462,0.579093517,0.5,0.195092985,0.655494235,0.65,0.031429683
2674433,10447,MCDOWELL-N,UNITED SPIRITS,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,-4.145631068,0.520481928,0,-0.706772605,0.621614199,0.25,0.250756734
900609,3518,TORNTPHARM,TORRENT PHARMACEUTICALS L,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,-4.191489362,0.582903041,0.5,-0.098451713,0.627967353,0.45,-0.420443258
225537,881,DRREDDY,DR. REDDY S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,-5.511904762,0.525760184,0.25,-0.491042998,0.633128644,0.4,-0.27434274
