instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1_1d,signal_2_1d,signal_3_1d,signal_1_7d,signal_2_7d,signal_3_7d,signal_1_31d,signal_2_31d,signal_3_31d
857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,2.008130081,0.565094664,0.25,0.383551406,0.634268688,0.4,0.073607251
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,2,0.493448078,0,1.01527611,0.556154942,0.2,-0.073645715
502785,1964,TRENT,TRENT,0,,0,0.05,1,EQ,NSE,NSE,1.036144578,1,1.958333333,0.490877797,0.25,-0.480135433,0.633854126,0.4,-0.295642626
1629185,6364,NATIONALUM,NATIONAL ALUMINIUM CO,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,1.898734177,0.550223752,0.5,1.348118488,0.583598912,0.2,0.039393243
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,1.896551724,0.525025818,0.25,0.95327723,0.585650991,0.25,-0.271642413
4708097,18391,RBLBANK,RBL BANK,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,1.882352941,0.505243832,0.25,0.804482259,0.582904521,0.25,-0.39036784
1790465,6994,BSOFT,BIRLASOFT,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,1.687898089,0.546414228,0.25,0.374661402,0.609405363,0.4,0.030943557
3677697,14366,IDEA,VODAFONE IDEA,0,,0,0.05,1,EQ,NSE,NSE,0.578313253,0,1.666666667,0.295949512,0,-0.119047619,0.363601503,0,-0.214516129
67329,263,ATUL,ATUL,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,1.617828773,0.549856569,0.25,0.178109205,0.59039772,0.2,-0.541377229
3465729,13538,TECHM,TECH MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,1.605555556,0.519747562,0,-0.422286882,0.616287084,0.35,-0.100531933
1850625,7229,HCLTECH,HCL TECHNOLOGIES,0,,0,0.05,1,EQ,NSE,NSE,0.939759036,0,1.582677165,0.545679862,0.5,-0.028218661,0.598056743,0.3,-0.285525074
108033,422,BHARATFORG,BHARAT FORGE,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,1.556097561,0.577624785,0.75,0.671758917,0.628495919,0.55,-0.139188267
1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,1.542372881,0.527733792,0,0.227059027,0.632714082,0.4,-0.050515868
4592385,17939,HINDCOPPER,HINDUSTAN COPPER,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,1.535714286,0.513597246,0.25,0.224736924,0.601995077,0.35,0.113909736
341249,1333,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,NSE,NSE,1.060240964,1,1.483050847,0.56670109,0.5,0.896699068,0.633771214,0.5,0.627190844
3876097,15141,COLPAL,COLGATE PALMOLIVE.,0,,0,0.05,1,EQ,NSE,NSE,1.012048193,1,1.454918033,0.597911647,0.75,0.489424529,0.662324135,0.55,0.289261553
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,0.939759036,0,1.441176471,0.576156053,0.5,0.960616505,0.617841689,0.4,-0.131974562
5436929,21238,AUBANK,AU SMALL FINANCE BANK,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,1.432692308,0.525760184,0.25,1.17797064,0.566031869,0.1,-0.247853222
1723649,6733,JINDALSTEL,JINDAL STEEL & POWER,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,1.383647799,0.593230063,0.75,1.711463435,0.619116466,0.4,0.297837349
3329,13,ABB,ABB INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,1.333333333,0.573815261,0.5,0.512525466,0.648280865,0.6,0.430855835
969473,3787,WIPRO,WIPRO,0,,0,0.05,1,EQ,NSE,NSE,0.963855422,0,1.333333333,0.549122203,0.25,0.436553326,0.58937168,0.05,-0.449502802
3756033,14672,NAVINFLUOR,NAVIN FLUORINE INT.,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,1.308880309,0.520849111,0.25,0.030884771,0.612234745,0.35,-0.081393339
4488705,17534,MGL,MAHANAGAR GAS.,0,,0,0.05,1,EQ,NSE,NSE,0.939759036,0,1.221238938,0.549489386,0.25,0.419254738,0.6298847,0.45,0.320641481
3039233,11872,GRANULES,GRANULES INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,1.193548387,0.515570855,0,1.175564044,0.572333204,0.15,-0.16303179
2745857,10726,INDIAMART,INDIAMART INTERMESH,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,1.166112957,0.555134825,0.5,0.424245188,0.6096541,0.25,-0.155251589
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.987951807,0,1.151785714,0.563993115,0.25,1.048053169,0.611654359,0.3,0.070334566
3484417,13611,IRCTC,INDIAN RAIL TOUR CORP,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,1.137755102,0.559311532,0.5,1.098253883,0.618339163,0.45,-0.064085885
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,1.094736842,0.551325301,0.5,1.132797904,0.570084208,0.25,-0.068497026
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,1.078,0.588686173,0.75,2.054348094,0.618090426,0.35,0.25342619
2067201,8075,DALBHARAT,DALMIA BHARAT,0,,0,0.05,1,EQ,NSE,NSE,1.036144578,1,1.073170732,0.548020654,0.5,0.413945438,0.616649825,0.4,-0.258074998
1195009,4668,BANKBARODA,BANK OF BARODA,0,,0,0.05,1,EQ,NSE,NSE,0.939759036,0,0.957446809,0.534251291,0.25,0.806549407,0.592895453,0.25,0.078850297
511233,1997,LICHSGFIN,LIC HOUSING FINANCE,0,,0,0.05,1,EQ,NSE,NSE,0.939759036,0,0.955223881,0.599013196,0.5,1.666583503,0.612680399,0.35,0.032521601
6191105,24184,PIIND,PI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.939759036,0,0.941935484,0.568537005,0.5,0.066097883,0.669454593,0.6,0.202084618
884737,3456,TATAMOTORS,TATA MOTORS,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,0.9375,0.559311532,0.5,0.79593325,0.630382174,0.4,0.012336391
877057,3426,TATAPOWER,TATA POWER CO,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,0.923076923,0.523557085,0.25,1.096884129,0.586179557,0.2,0.342172011
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,0.819277108,0,0.888888889,0.53989673,0.25,0.153009496,0.625137971,0.4,0.264739557
3400961,13285,M&MFIN,M&M FIN. SERVICES,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,0.852941176,0.548617326,0.25,1.159233153,0.586677031,0.2,0.035645965
261889,1023,FEDERALBNK,FEDERAL BANK,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,0.833333333,0.425978199,0,0.124458874,0.545220884,0.05,-0.374161518
348929,1363,HINDALCO,HINDALCO  INDUSTRIES ,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,0.813953488,0.546047045,0.25,-0.215164252,0.624806322,0.35,0.132299907
2911489,11373,BIOCON,BIOCON,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,0.777777778,0.487297762,0,0.882013736,0.565088742,0.1,-0.279477629
486657,1901,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.963855422,0,0.715651135,0.571979346,0.5,0.043723038,0.648726519,0.55,0.230903154
408065,1594,INFY,INFOSYS,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,0.650485437,0.516305221,0.25,-0.398255776,0.609488276,0.3,-0.662642521
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,0.636363636,0.463339071,0,0.882423132,0.574302371,0.2,0.447331619
5633,22,ACC,ACC,0,,0,0.05,1,EQ,NSE,NSE,0.963855422,0,0.629032258,0.598646013,0.75,0.839008185,0.614317917,0.2,-0.18948654
519937,2031,M&M,MAHINDRA & MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,0.795180723,0,0.620253165,0.578359151,0.75,1.202933182,0.634683249,0.4,-0.019938563
5215745,20374,COALINDIA,COAL INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,0.576271186,0.542971888,0.25,0.970338636,0.59658505,0.25,0.001252032
189185,739,COROMANDEL,COROMANDEL INTERNTL.,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,0.550458716,0.557475617,0.25,0.982470422,0.620505247,0.3,0.078618474
4600577,17971,SBICARD,SBI CARDS & PAY SER,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,0.545454545,0.509053356,0,-0.443719546,0.572581941,0.1,-0.632262116
325121,1270,AMBUJACEM,AMBUJA CEMENTS,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,0.532608696,0.59286288,0.75,0.800394106,0.623334629,0.4,-0.063227668
112129,438,BHEL,BHEL,0,,0,0.05,1,EQ,NSE,NSE,0.722891566,0,0.522727273,0.518508319,0.5,0.191129395,0.606544889,0.35,0.067032729
