instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,4.584615384615202,0.9113300492610849,0.3555587557603558
341249,1333,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,NSE,NSE,-1.5163398692811505,0.4973214285714168,0.3170362903225889
2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0,,0,0.05,1,EQ,NSE,NSE,-0.46356916578674523,0.5603580261453119,0.3123778768413586
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,1.5789473684209816,1.203647416413379,0.25394646533974113
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,-0.6801242236025051,0.6118012422360255,0.22647058823529442
2939649,11483,LT,LARSEN & TOUBRO.,0,,0,0.05,1,EQ,NSE,NSE,-1.902552204176318,0.07779886148008777,0.2141618353897304
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,-3.3770718232044867,0.1900086822948075,0.20966987890030245
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,-6.777777777777729,0.3367346938775393,0.2048387096774185
5181953,20242,OBEROIRLTY,OBEROI REALTY,0,,0,0.05,1,EQ,NSE,NSE,-0.6794871794871805,0.47964285714285,0.19673291266143877
7458561,29135,INDUSTOWER,INDUS TOWERS,0,,0,0.05,1,EQ,NSE,NSE,-0.3559322033897777,0.2987012987013021,0.19305962854350053
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.14619883040933004,1.1503759398496187,0.17902282588190968
3520257,13751,NAUKRI,INFO EDGE (I),0,,0,0.05,1,EQ,NSE,NSE,0.22936507936501846,0.48586165607440895,0.1710862918824453
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,2.866666666666733,0.7962962962962824,0.16731182795698168
784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,4.147540983606444,1.0944099378881809,0.163253856942496
952577,3721,TATACOMM,TATA COMMUNICATIONS,0,,0,0.05,1,EQ,NSE,NSE,-4.767045454545439,0.24355300859595616,0.151288520454133
5552641,21690,DIXON,DIXON TECHNO (INDIA),0,,0,0.05,1,EQ,NSE,NSE,-1.2010126582278517,0.03081374321879868,0.14084590445454448
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,-0.7259259259258721,0.3199850996461185,0.13852639296187524
4592385,17939,HINDCOPPER,HINDUSTAN COPPER,0,,0,0.05,1,EQ,NSE,NSE,2.3979057591623305,0.9094988780852724,0.1378145583516305
103425,404,BERGEPAINT,BERGER PAINTS (I),0,,0,0.05,1,EQ,NSE,NSE,-1.0851063829786929,-0.38155515370702975,0.13440860215053482
871681,3405,TATACHEM,TATA CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE,-0.6944444444445205,0.14168618266977143,0.12881975434569767
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,-0.1467391304347504,0.1622516556291345,0.12868539715574426
