instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
7458561,29135,INDUSTOWER,INDUS TOWERS,0,,0,0.05,1,EQ,NSE,NSE,2.276923076923034,0.7950310559006207,0.4175483870967748
341249,1333,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,NSE,NSE,2.6395348837206716,0.7709821428571318,0.3683467741935572
2939649,11483,LT,LARSEN & TOUBRO.,0,,0,0.05,1,EQ,NSE,NSE,-0.7132075471696606,0.21147540983607657,0.29076854467073826
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,3.8333333333333406,0.5216450216450316,0.27880184331797014
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,2.795454545454524,0.8074739829706721,0.2558099202219979
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,1.4523809523809479,1.2340425531915054,0.2512010981468799
5181953,20242,OBEROIRLTY,OBEROI REALTY,0,,0,0.05,1,EQ,NSE,NSE,1.3565891472868157,0.5857454092748151,0.2409624343928771
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,0.5682492581603118,0.5187337206972632,0.23500580614999722
952577,3721,TATACOMM,TATA COMMUNICATIONS,0,,0,0.05,1,EQ,NSE,NSE,1.5194805194804708,1.0188293082275681,0.2212560821769672
5552641,21690,DIXON,DIXON TECHNO (INDIA),0,,0,0.05,1,EQ,NSE,NSE,0.40663265306121893,0.2344752186588846,0.21852285007920344
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,2.5960784313725056,0.6554293164462609,0.2055351906158344
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,0.8571428571428656,0.36734693877549185,0.19435483870967715
2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0,,0,0.05,1,EQ,NSE,NSE,-1.3793911007026718,-0.026205178766015497,0.18656323493278362
486657,1901,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,NSE,NSE,1.0301075268816342,0.06810035842294007,0.183012795954333
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,2.5058823529410916,0.8034727703235893,0.17080036518563624
103425,404,BERGEPAINT,BERGER PAINTS (I),0,,0,0.05,1,EQ,NSE,NSE,3.4871794871795867,-0.018950437317777232,0.15480708412396893
2029825,7929,ZYDUSLIFE,ZYDUS LIFESCIENCES,0,,0,0.05,1,EQ,NSE,NSE,3.3622047244094286,0.1461794019933602,0.13920684472193376
3329,13,ABB,ABB INDIA,0,,0,0.05,1,EQ,NSE,NSE,3.0229312063808504,0.5570321151716442,0.13767281105990442
119553,467,HDFCLIFE,HDFC LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,1.956521739130638,-0.07489597780860355,0.13504307753958303
2674433,10447,MCDOWELL-N,UNITED SPIRITS,0,,0,0.05,1,EQ,NSE,NSE,0.8545454545455042,-0.33577052868393503,0.12093611638202853
871681,3405,TATACHEM,TATA CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE,2.803278688524493,-0.19964871194379702,0.11802456542989227
98049,383,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,NSE,NSE,2.720000000000028,0.8717201166180822,0.11364764267990332
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,-4.499999999999967,-0.48968253968256337,0.10046680136556804
4774913,18652,ICICIPRULI,ICICI PRU LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,0.5882352941176173,0.1785714285714308,0.09596266991276536
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,1.1578947368419332,0.6507936507936366,0.09548387096773416
2455041,9590,POLYCAB,POLYCAB INDIA,0,,0,0.05,1,EQ,NSE,NSE,1.8949704142012593,0.46196814832424565,0.08590627228140761
6054401,23650,MUTHOOTFIN,MUTHOOT FINANCE,0,,0,0.05,1,EQ,NSE,NSE,1.2157894736842059,0.46801051709026914,0.08547406608490822
3520257,13751,NAUKRI,INFO EDGE (I),0,,0,0.05,1,EQ,NSE,NSE,3.1240105540896104,0.3174688193434748,0.08303220531216025
681985,2664,PIDILITIND,PIDILITE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,-0.0597014925373483,-0.2346938775510432,0.08027485187623051
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,4.0714285714285845,0.8857142857142876,0.07590132827324825
1723649,6733,JINDALSTEL,JINDAL STEEL & POWER,0,,0,0.05,1,EQ,NSE,NSE,1.080717488789236,0.7924407431133936,0.07301566055414505
108033,422,BHARATFORG,BHARAT FORGE,0,,0,0.05,1,EQ,NSE,NSE,-0.10091743119269309,0.5743801652892532,0.0712523719165147
4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0,0.05,1,EQ,NSE,NSE,-2.7842170160296336,-0.4830699774266292,0.0666627987932166
784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,2.153846153846085,0.7813664596273096,0.064516129032259
85761,335,BALKRISIND,BALKRISHNA IND.,0,,0,0.05,1,EQ,NSE,NSE,2.3375527426160567,0.46005346005345266,0.06421180766889804
4752385,18564,LTTS,L&T TECHNOLOGY SER..,0,,0,0.05,1,EQ,NSE,NSE,-0.19073569482296346,0.8401544401544346,0.06348462115528501
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE,-1.68705035971224,0.4003076331474636,0.05852801888557798
1346049,5258,INDUSINDBK,INDUSIND BANK,0,,0,0.05,1,EQ,NSE,NSE,0.06287425149700338,0.06629597946964362,0.0568862275449184
6191105,24184,PIIND,PI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,1.2327823691460023,-0.18470775207487825,0.054493209728728634
4592385,17939,HINDCOPPER,HINDUSTAN COPPER,0,,0,0.05,1,EQ,NSE,NSE,2.325301204819312,0.43716433941998634,0.051418869755033514
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE,-0.3454545454544795,0.23383084577113647,0.04716520039100642
4923905,19234,LAURUSLABS,LAURUS LABS,0,,0,0.05,1,EQ,NSE,NSE,1.2110091743119433,0.7585895117540662,0.046957942017151144
2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0,0.05,1,EQ,NSE,NSE,0.9366197183097603,1.1437335670464353,0.04629887434867458
877057,3426,TATAPOWER,TATA POWER CO,0,,0,0.05,1,EQ,NSE,NSE,0.23529411764702665,0.513562386980124,0.04512697323266891
2513665,9819,HAVELLS,HAVELLS INDIA,0,,0,0.05,1,EQ,NSE,NSE,1.600000000000008,0.2268769122146356,0.04325851048015484
951809,3718,VOLTAS,VOLTAS,0,,0,0.05,1,EQ,NSE,NSE,1.9151515151515919,0.8840445269016631,0.036965406510000166
3876097,15141,COLPAL,COLGATE PALMOLIVE.,0,,0,0.05,1,EQ,NSE,NSE,-0.1330645161290019,0.0806916426512915,0.03492299587864819
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,3.9999999999999782,1.1031746031746026,0.02961876832844563
857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,0,,0,0.05,1,EQ,NSE,NSE,-0.7162162162161713,0.28400682982358527,0.02791563275435545
2748929,10738,OFSS,ORACLE FIN SERV SOFT.,0,,0,0.05,1,EQ,NSE,NSE,0.5712121212120782,0.09139065462249905,0.025365881329651247
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,-0.04477611940294504,0.6186440677966278,0.0230789404668224
325121,1270,AMBUJACEM,AMBUJA CEMENTS,0,,0,0.05,1,EQ,NSE,NSE,1.0208333333333135,0.4049689440993693,0.018723212271599746
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,-0.06249999999999645,0.6603174603174583,0.01863799283153956
387073,1512,INDHOTEL,THE INDIAN HOTELS CO.,0,,0,0.05,1,EQ,NSE,NSE,-3.360000000000173,0.032765399737875074,0.017904705534184658
418049,1633,IPCALAB,IPCA LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,1.3654618473895364,0.7346938775510227,0.014817728822447541
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,1.758620689655155,1.0098522167487745,0.013674614305742346
2452737,9581,METROPOLIS,METROPOLIS HEALTHCARE,0,,0,0.05,1,EQ,NSE,NSE,1.24404761904764,-0.25830429732868493,0.013347116232403507
