instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,2.045454545454478,0.01851851851852284,0.3942652329749162
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,-5.368421052631256,0.37755102040815236,0.38046840477242344
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,2.367346938775513,0.8600583090379098,0.36800526662278243
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,-0.604938271604962,0.8402116402116325,0.3567502986857804
779521,3045,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,-0.5483870967742352,1.0485908649173874,0.35399536158548767
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,1.6274509803921138,0.5522875816993451,0.34967320261437296
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,9.009900990098933,1.9915134370579868,0.31760254878534194
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,2.863013698630179,0.6264492041658482,0.3141002917677866
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,1.2727272727272931,0.23116883116884482,0.3066483084185694
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,-0.5635359116022531,0.8296342607064695,0.28524034728594455
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,0.9545454545454616,0.6066790352504651,0.2825567502986934
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,-3.537499999999909,0.03420523138832316,0.27974836032659406
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,-1.1333333333333258,0.4725274725274809,0.27940446650123674
7982337,31181,MCX,MULTI COMMODITY EXCHANGE,0,,0,0.05,1,EQ,NSE,NSE,0.2543275632489811,0.4161295158147091,0.27683376772839297
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,-2.4176706827308743,0.18741633199465443,0.27608860439653027
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,-4.973684210526325,0.7651663405088032,0.27419354838709337
3660545,14299,PFC,POWER FIN CORP.,0,,0,0.05,1,EQ,NSE,NSE,4.326315789473674,0.7413533834586495,0.266589861751152
4488705,17534,MGL,MAHANAGAR GAS.,0,,0,0.05,1,EQ,NSE,NSE,-0.1390134529147955,0.17407271391847537,0.26602537523841335
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,-2.210884353741524,0.27823129251701123,0.26237227008615704
