instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,-0.6455696202531838,0.6217532467532345,0.4151732377538859
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,1.3552290406223033,0.41708852944807806,0.381888582881137
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,0.6185567010309307,0.17475728155340714,0.31882242405261546
2455041,9590,POLYCAB,POLYCAB INDIA,0,,0,0.05,1,EQ,NSE,NSE,3.7596982758620783,0.5561114532019893,0.26862198110446045
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.6239316239316275,-0.5347985347985308,0.26229346970889167
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,1.2040816326530859,-0.21558441558442012,0.2504398826979477
4923905,19234,LAURUSLABS,LAURUS LABS,0,,0,0.05,1,EQ,NSE,NSE,3.2168674698795408,-0.3499197431781658,0.22498979175173625
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,0.8695652173912988,-0.7028985507246369,0.20406732117811777
784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,2.9099999999999793,0.027777777777771896,0.19655549480590012
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,0.10552763819096705,0.14285714285714662,0.19214029697900933
232961,910,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,NSE,NSE,2.3150470219435455,0.10756302521009517,0.184672828548693
3431425,13404,SUNTV,SUN TV NETWORK,0,,0,0.05,1,EQ,NSE,NSE,0.8224852071006329,0.10566356720205121,0.1845098955898445
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,1.8888888888888955,-1.01587301587302,0.1684587813620108
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,1.5416666666666807,-0.6920222634508358,0.15698924731182579
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,1.4687500000000187,-0.028571428571426822,0.15632754342431568
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,0.3963963963963673,-0.04302925989672975,0.15402269539716593
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,3.456375838926153,-0.44859813084112626,0.15277499499098487
4278529,16713,UBL,UNITED BREWERIES,0,,0,0.05,1,EQ,NSE,NSE,-0.24058577405860535,-0.5940221228524393,0.1453643131062479
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,1.2792937399679194,-0.2576070139246959,0.14037451921727595
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,5.855555555555433,0.10132158590307509,0.1369269949066163
6054401,23650,MUTHOOTFIN,MUTHOOT FINANCE,0,,0,0.05,1,EQ,NSE,NSE,3.8073394495413178,0.02833333333333468,0.12441453921762566
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,0.34816549570651445,0.16837662337662285,0.12392961876833128
3660545,14299,PFC,POWER FIN CORP.,0,,0,0.05,1,EQ,NSE,NSE,-0.30386740331493733,-0.12549329123914552,0.12225984672963792
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,-0.1284403669724724,-1.1575342465753358,0.12193830733394541
486657,1901,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,NSE,NSE,1.5725593667546187,0.20565149136577782,0.12138552691548186
7707649,30108,ABFRL,ADITYA BIRLA FASHION & RT,0,,0,0.05,1,EQ,NSE,NSE,4.166666666666726,-0.38416988416987713,0.1182010831174942
1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE,0.07586206896551126,-0.19755877034359015,0.11788691554910985
