instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,-0.24705882352940134,0.3042016806722711,0.42808349146109775
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,-0.9406952965234882,0.5508859965501011,0.347421808960269
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,-1.1704545454545463,0.3506493506493561,0.3408004778972566
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,-1.0555555555555685,0.589947089947091,0.32138590203106415
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,-1.8265306122448939,0.033116883116887076,0.27665224232887586
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,-0.6781954887217552,0.1675523601125413,0.2762758523328853
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,-2.2083333333332877,-0.19312169312168365,0.2700119474313077
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.6047619047618848,-0.22669349429913604,0.2596707268103302
315393,1232,GRASIM,GRASIM INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,-2.4538152610440456,0.24889955982397396,0.254382088672873
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE,3.2582781456954315,0.885125184094268,0.25035063113604294
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,-2.7857142857142896,-0.3918367346938713,0.2415770609318974
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,-0.6614173228346594,-0.30258717660293116,0.24157706093189588
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,1.3268181818181883,0.30857142857143394,0.23633431085044238
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,1.8118811881189358,0.5811818703384912,0.22950401632028258
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,-1.3301886792453244,0.8758503401360518,0.22324628776241673
2455041,9590,POLYCAB,POLYCAB INDIA,0,,0,0.05,1,EQ,NSE,NSE,1.3965267727931618,0.5621973365617844,0.22213831049736618
3660545,14299,PFC,POWER FIN CORP.,0,,0,0.05,1,EQ,NSE,NSE,-2.4550561797752843,0.5160513643659789,0.21312069590431396
4278529,16713,UBL,UNITED BREWERIES,0,,0,0.05,1,EQ,NSE,NSE,-2.2021505376344193,-0.41551849166062066,0.208030678998421
877057,3426,TATAPOWER,TATA POWER CO,0,,0,0.05,1,EQ,NSE,NSE,-1.9107142857143364,0.04846938775509319,0.20679723502304265
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,-1.200000000000021,-0.05714285714288283,0.20388751033912095
7982337,31181,MCX,MULTI COMMODITY EXCHANGE,0,,0,0.05,1,EQ,NSE,NSE,0.0931989924433092,-0.3142707240293875,0.19617168195511386
4923905,19234,LAURUSLABS,LAURUS LABS,0,,0,0.05,1,EQ,NSE,NSE,-1.5505617977527961,0.5085190039318525,0.1904859126173949
3431425,13404,SUNTV,SUN TV NETWORK,0,,0,0.05,1,EQ,NSE,NSE,-0.7938144329896453,0.36914285714286965,0.18653576437588
784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,-1.7373737373737355,0.08777239709443359,0.18644067796609778
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,1.6590909090908887,0.5278106508875746,0.184958961633899
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,-3.2615844544095394,-0.967106521323371,0.18231842555939431
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,-1.5749999999999886,-0.3607142857142855,0.17016129032257832
1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE,0.09848484848489523,0.22468354430380935,0.16962667633200687
5181953,20242,OBEROIRLTY,OBEROI REALTY,0,,0,0.05,1,EQ,NSE,NSE,0.846376811594211,0.08778467908903938,0.1681930016402404
