instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,2.9117647058824483,0.9679300291545309,0.4549045424621528
3660545,14299,PFC,POWER FIN CORP.,0,,0,0.05,1,EQ,NSE,NSE,3.3120000000000354,1.1474285714285775,0.4403225806451604
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,2.7586206896552916,0.7168367346938748,0.41670349094122683
877057,3426,TATAPOWER,TATA POWER CO,0,,0,0.05,1,EQ,NSE,NSE,3.8936170212766212,0.727891156462578,0.40494166094715245
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,0.13333333333336406,0.0687830687830742,0.40083632019116505
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,3.872305140961785,0.9549869699123328,0.36127396177023935
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,0.9999999999999472,0.4485049833886993,0.35035842293907243
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,-0.9794520547944462,0.18397399120292274,0.3472023358320018
779521,3045,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.6764705882353895,0.7813411078717367,0.3455618806662436
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,-2.3506493506493253,0.45608465608465043,0.33691756272401163
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,3.190476190476214,1.202947845804989,0.3362775217613926
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,0.06451612903225404,0.23287671232876855,0.32401433691756026
315393,1232,GRASIM,GRASIM INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,1.6050420168068387,0.09803921568629022,0.3185299749595045
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,-1.5047770700637042,0.42122538293215944,0.31012211477376816
