instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,2.0555555555555265,0.35551948051946536,0.4151732377538848
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,1.3717728055077492,0.3532019704433523,0.3882965669566151
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,2.5714285714285787,-0.06102635228848384,0.3228938302536804
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.9708737864077495,-0.11596638655462053,0.2666207710464206
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,1.5178571428571164,-0.21173469387755448,0.2551843317972362
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,0.6307808946171688,0.6527272727272743,0.22027859237536954
232961,910,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,NSE,NSE,1.7866868381239953,0.12173913043478614,0.1944522362474673
784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,2.009433962264132,0.02083333333332907,0.1943685073810779
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,7.605027718682322e-14,-0.3355795148247958,0.18279569892473335
1723649,6733,JINDALSTEL,JINDAL STEEL & POWER,0,,0,0.05,1,EQ,NSE,NSE,4.314720812182708,0.41589861751151547,0.18210197710718012
2455041,9590,POLYCAB,POLYCAB INDIA,0,,0,0.05,1,EQ,NSE,NSE,-1.592673992674002,0.30338196286472957,0.17946222298280734
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,2.4782608695652493,-0.1449275362318811,0.1778868630201005
486657,1901,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,NSE,NSE,2.2486486486485444,0.4507042253521126,0.17369727047146463
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,3.9999999999999507,-0.5396825396825425,0.16666666666666843
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,-1.3666666666667369,-0.0014430014430298363,0.16498788728802155
85761,335,BALKRISIND,BALKRISHNA IND.,0,,0,0.05,1,EQ,NSE,NSE,2.1913043478261907,0.21825396825398524,0.1607494688043295
