instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,6.014925373134265,1.0503246753246702,0.4778972520908034
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,4.589583333333398,0.6866865297161729,0.37820740053990565
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,2.038834951456287,0.30929264909847337,0.3576573755089227
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,1.0178571428571166,-0.01233766233766075,0.27881589299764004
4278529,16713,UBL,UNITED BREWERIES,0,,0,0.05,1,EQ,NSE,NSE,1.2751235584843466,-0.17792421746293055,0.2775998195353025
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,2.3125000000000027,0.16931216931216508,0.2670250896057347
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,3.555555555555581,-0.49943757030371244,0.25639187574671113
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,0.9495192307692224,-0.6475538160469624,0.25199407072774627
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,2.6226993865030748,0.40025974025973904,0.2441055718475092
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,3.0294117647059147,0.9399092970521513,0.23438300051203317
232961,910,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,NSE,NSE,0.41106719367592487,0.06135357368754561,0.20432147885168572
2674433,10447,MCDOWELL-N,UNITED SPIRITS,0,,0,0.05,1,EQ,NSE,NSE,4.7080745341615,0.30148715637674,0.19455645161289772
3660545,14299,PFC,POWER FIN CORP.,0,,0,0.05,1,EQ,NSE,NSE,2.8400000000000083,0.5521669341894125,0.19391083725987807
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,0.31034482758620136,-0.10556511761331053,0.19227336478388005
784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,1.5555555555555485,-0.1884920634920659,0.19177145981410165
4923905,19234,LAURUSLABS,LAURUS LABS,0,,0,0.05,1,EQ,NSE,NSE,2.0277777777778,-0.3434991974317826,0.18926092282564316
3431425,13404,SUNTV,SUN TV NETWORK,0,,0,0.05,1,EQ,NSE,NSE,2.879518072289183,-0.012048192771067546,0.18887330528284785
2455041,9590,POLYCAB,POLYCAB INDIA,0,,0,0.05,1,EQ,NSE,NSE,2.254901960784332,0.4859261501210984,0.18559561056055784
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,5.444444444444447,-0.012244897959195523,0.1811414392059529
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,-0.5294117647058213,-0.7666666666666595,0.1774193548387163
2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0,0.05,1,EQ,NSE,NSE,0.5560538116590905,0.4115685947657912,0.1655437196521919
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,-1.5555555555555365,-0.9666048237476749,0.15913978494623443
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,7.4977678571427795,-0.6886593995027587,0.15738791094640744
1723649,6733,JINDALSTEL,JINDAL STEEL & POWER,0,,0,0.05,1,EQ,NSE,NSE,3.2827586206896484,-0.13536866359447688,0.15517689906347715
2905857,11351,PETRONET,PETRONET LNG,0,,0,0.05,1,EQ,NSE,NSE,3.0123456790123075,0.10104529616725445,0.15352013185778596
85761,335,BALKRISIND,BALKRISHNA IND.,0,,0,0.05,1,EQ,NSE,NSE,0.8174603174603201,0.4135487528344667,0.14058334943017173
3520257,13751,NAUKRI,INFO EDGE (I),0,,0,0.05,1,EQ,NSE,NSE,2.1293859649123537,-0.5166505791505744,0.14018011272643963
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,3.2523364485981077,-0.12712397734425615,0.13989813242783644
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,3.833333333333393,-0.3732142857142792,0.13951612903225655
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,-1.567307692307652,-0.7183673469387774,0.13452014455895708
486657,1901,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,NSE,NSE,2.3616504854369094,0.16513418554235226,0.13358991239175697
4576001,17875,GODREJPROP,GODREJ PROPERTIES,0,,0,0.05,1,EQ,NSE,NSE,2.199124726476992,0.15778688524590107,0.12897010379762394
7982337,31181,MCX,MULTI COMMODITY EXCHANGE,0,,0,0.05,1,EQ,NSE,NSE,0.28850855745719745,-0.7292389853137541,0.12891378668381473
7458561,29135,INDUSTOWER,INDUS TOWERS,0,,0,0.05,1,EQ,NSE,NSE,1.7555555555555762,-0.10389610389611256,0.12866568914955828
877057,3426,TATAPOWER,TATA POWER CO,0,,0,0.05,1,EQ,NSE,NSE,-0.7027027027026661,-0.6173469387755182,0.1275921658986195
1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE,1.1550387596898513,-0.12160940325498361,0.12749184487133053
418049,1633,IPCALAB,IPCA LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,2.5258467023172915,0.15278838808250364,0.12155712724972487
108033,422,BHARATFORG,BHARAT FORGE,0,,0,0.05,1,EQ,NSE,NSE,3.2990810359231397,0.2701993077932919,0.12102837739510185
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,0,0.05,1,EQ,NSE,NSE,-3.092485549132889,0.3301775147928966,0.12032830692880232
112129,438,BHEL,BHEL,0,,0,0.05,1,EQ,NSE,NSE,2.653061224489833,0.00822199383350963,0.11766071014156394
3677697,14366,IDEA,VODAFONE IDEA,0,,0,0.05,1,EQ,NSE,NSE,2.8000000000000185,0.48571428571430175,0.11424731182795743
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,0.1964285714285543,-0.8971962616822485,0.11320376678020512
5552641,21690,DIXON,DIXON TECHNO (INDIA),0,,0,0.05,1,EQ,NSE,NSE,1.7142857142855974,-0.33581179912239684,0.11098045447322386
1215745,4749,CONCOR,CONTAINER CORP OF IND,0,,0,0.05,1,EQ,NSE,NSE,1.4999999999999991,-0.5439895470383321,0.11050691244239438
98049,383,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,NSE,NSE,3.6000000000000227,-0.3840749414519786,0.10823429541595496
2513665,9819,HAVELLS,HAVELLS INDIA,0,,0,0.05,1,EQ,NSE,NSE,1.6040609137056168,0.1116644823066834,0.10038472920982523
4592385,17939,HINDCOPPER,HINDUSTAN COPPER,0,,0,0.05,1,EQ,NSE,NSE,0.6727272727272812,-0.5850931677018657,0.09805271439811494
519937,2031,M&M,MAHINDRA & MAHINDRA,0,,0,0.05,1,EQ,NSE,NSE,-0.4609929078013827,0.1719605695509387,0.09778334551275515
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE,1.0880503144654132,-0.08681318681318122,0.09768403639371316
5181953,20242,OBEROIRLTY,OBEROI REALTY,0,,0,0.05,1,EQ,NSE,NSE,2.3587443946188102,-0.030038421236458456,0.09643247676325777
189185,739,COROMANDEL,COROMANDEL INTERNTL.,0,,0,0.05,1,EQ,NSE,NSE,1.3613861386138646,-0.04698412698412469,0.0962559917087691
4774913,18652,ICICIPRULI,ICICI PRU LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE,1.6153846153845985,0.3384353741496641,0.08882827324478834
