instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,0.8543103448275813,0.2504926108374393,0.40891118806751375
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,-1.7428571428571662,0.2840909090908991,0.37873357228196175
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,0.057692307692332155,0.06796116504855,0.31976197932978456
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.39411764705882696,-0.17983193277310808,0.26888276947285705
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,-0.4999999999999003,-0.5142857142857183,0.24105571847507556
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,3.8851948051947827,0.6203246753246735,0.2335923753665713
2455041,9590,POLYCAB,POLYCAB INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.9270557029177718,0.3928571428571536,0.21631941473432728
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,0.5892857142856833,-0.48136645962733143,0.21178120617110477
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,3.3048780487804503,-0.4899341850561302,0.20801863485565036
4923905,19234,LAURUSLABS,LAURUS LABS,0,,0,0.05,1,EQ,NSE,NSE,-1.0963855421686846,-0.4285714285714273,0.20641077991016818
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,0.6100000000000021,-0.3308625336927247,0.1999487967229929
784129,3063,VEDL,VEDANTA,0,,0,0.05,1,EQ,NSE,NSE,0.14388489208634794,-0.1845238095238104,0.1992892290869282
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,1.4595959595958583,0.035570854847957044,0.19087084023969822
3431425,13404,SUNTV,SUN TV NETWORK,0,,0,0.05,1,EQ,NSE,NSE,0.09174311926605466,0.02282333051566195,0.18606825619448847
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,1.8815789473684676,-0.23898531375167095,0.18142656782208136
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,1.682027649769577,-0.07955131511087621,0.17111653892585868
4278529,16713,UBL,UNITED BREWERIES,0,,0,0.05,1,EQ,NSE,NSE,1.5932203389830506,-0.5511885149447,0.16656891495601098
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,-0.2173913043477988,-1.0515873015873063,0.16547192353644363
2953217,11536,TCS,TATA CONSULTANCY SERV LT,0,,0,0.05,1,EQ,NSE,NSE,5.622950819672357,0.35565991102323713,0.15910716302178776
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,1.1520000000000077,-0.26399999999999796,0.15019354838709542
486657,1901,CUMMINSIND,CUMMINS INDIA,0,,0,0.05,1,EQ,NSE,NSE,3.096045197740208,0.24564551095163734,0.14913657770800784
1510401,5900,AXISBANK,AXIS BANK,0,,0,0.05,1,EQ,NSE,NSE,1.8128654970759803,-0.06609808102347807,0.14597680318955855
6054401,23650,MUTHOOTFIN,MUTHOOT FINANCE,0,,0,0.05,1,EQ,NSE,NSE,2.5108695652173694,0.22003284072249799,0.13965301141236147
232961,910,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,NSE,NSE,-0.10048309178742731,0.018288474810217697,0.13780582826866172
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,-1.4999999999999993,-0.3469387755101974,0.13647642679900565
112129,438,BHEL,BHEL,0,,0,0.05,1,EQ,NSE,NSE,3.781818181818257,-0.31654676258991754,0.12230215827338332
108033,422,BHARATFORG,BHARAT FORGE,0,,0,0.05,1,EQ,NSE,NSE,1.9929328621908038,0.32927556987706935,0.12154041016519793
3660545,14299,PFC,POWER FIN CORP.,0,,0,0.05,1,EQ,NSE,NSE,-0.20987654320990995,-0.4656669297553326,0.11923008376403417
7982337,31181,MCX,MULTI COMMODITY EXCHANGE,0,,0,0.05,1,EQ,NSE,NSE,0.019002375296923113,-0.7001470421897923,0.1163896692956015
3677697,14366,IDEA,VODAFONE IDEA,0,,0,0.05,1,EQ,NSE,NSE,-3.552713678800501e-14,0.7714285714285845,0.11559139784946294
2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0,0.05,1,EQ,NSE,NSE,-1.6125000000000682,0.03461296412836818,0.11502546689303303
2889473,11287,UPL,UPL,0,,0,0.05,1,EQ,NSE,NSE,2.4686468646864426,0.22489391796322256,0.11497923985946998
85761,335,BALKRISIND,BALKRISHNA IND.,0,,0,0.05,1,EQ,NSE,NSE,-0.2550335570468447,0.03854875283447356,0.11330886613869189
7458561,29135,INDUSTOWER,INDUS TOWERS,0,,0,0.05,1,EQ,NSE,NSE,-0.10416666666662161,2.73590673925485e-15,0.1120478983382186
3691009,14418,ASTRAL,ASTRAL,0,,0,0.05,1,EQ,NSE,NSE,1.5615550755939303,0.9111385374884058,0.11177253076155443
2905857,11351,PETRONET,PETRONET LNG,0,,0,0.05,1,EQ,NSE,NSE,-0.4565217391303506,-0.6851595006934843,0.1113727336943761
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE,5.105769230769156,0.17069597069596862,0.10901571546732618
