instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1d,signal_7d,signal_31d
3924993,15332,NMDC,NMDC.,0,,0,0.05,1,EQ,NSE,NSE,5.152173913043486,0.8571428571428568,0.4993371630578865
3660545,14299,PFC,POWER FIN CORP.,0,,0,0.05,1,EQ,NSE,NSE,2.3033707865168562,1.3931428571428612,0.4508448540706592
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.05,1,EQ,NSE,NSE,-1.3043478260869752,0.7784256559766847,0.3949967083607683
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE,1.175438596491247,0.46013289036545196,0.36320191158901266
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,-0.04061470911087517,0.5399090481417586,0.3529299484634465
1459457,5701,CUB,CITY UNION BANK,0,,0,0.05,1,EQ,NSE,NSE,-2.176470588235302,0.03703703703704238,0.3291517323775448
315393,1232,GRASIM,GRASIM INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,2.0677966101695824,0.6366546618647726,0.3283252319929452
779521,3045,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,-1.1129032258065676,0.8036929057337338,0.3221589711153245
877057,3426,TATAPOWER,TATA POWER CO,0,,0,0.05,1,EQ,NSE,NSE,-2.4230769230769056,0.5612244897959082,0.32155113246396855
112129,438,BHEL,BHEL,0,,0,0.05,1,EQ,NSE,NSE,2.3373493975903967,0.7039897039897134,0.3074687590816624
173057,676,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.37499999999995515,0.1487012987013046,0.29445318646734947
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,0,,0,0.05,1,EQ,NSE,NSE,-0.6969696969696633,0.2798434442270101,0.29426523297490853
758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.10526315789474544,-0.1186813186813156,0.29181141439205677
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE,0.07070707070705373,1.19047619047619,0.2894265232974915
4923905,19234,LAURUSLABS,LAURUS LABS,0,,0,0.05,1,EQ,NSE,NSE,-1.5277777777778163,0.3112582781456978,0.28317680685994373
2800641,10940,DIVISLAB,DIVI S LABORATORIES,0,,0,0.05,1,EQ,NSE,NSE,-1.578692493946721,0.20959674898405156,0.27504058728029673
589569,2303,HAL,HINDUSTAN AERONAUTICS,0,,0,0.05,1,EQ,NSE,NSE,-2.10112359550568,-0.40581373111492086,0.27479715881973205
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0,,0,0.05,1,EQ,NSE,NSE,-3.1492537313433346,-0.2081128747795515,0.26571087216248174
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,-2.031746031746075,-0.17773306505701353,0.2600722794806566
4278529,16713,UBL,UNITED BREWERIES,0,,0,0.05,1,EQ,NSE,NSE,-2.346820809248599,-0.16343656343656376,0.2555380103767206
1270529,4963,ICICIBANK,ICICI BANK.,0,,0,0.05,1,EQ,NSE,NSE,-0.23694779116456982,0.6712564543889694,0.23511411449700245
617473,2412,PEL,PIRAMAL ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE,2.70731707317067,0.9605911330049273,0.21743176178660362
2905857,11351,PETRONET,PETRONET LNG,0,,0,0.05,1,EQ,NSE,NSE,-4.069767441860508,0.1409001956947267,0.21709441959030082
1076225,4204,MOTHERSON,SAMVRDHNA MTHRSN INTL,0,,0,0.05,1,EQ,NSE,NSE,1.2857142857142216,0.1970443349753431,0.2162944582299396
7982337,31181,MCX,MULTI COMMODITY EXCHANGE,0,,0,0.05,1,EQ,NSE,NSE,-2.5255474452554734,0.11992205066705885,0.21467014182716546
1895937,7406,GLENMARK,GLENMARK PHARMACEUTICALS,0,,0,0.05,1,EQ,NSE,NSE,-1.4198895027624174,-0.5299319727891222,0.21258264876778368
806401,3150,SIEMENS,SIEMENS,0,,0,0.05,1,EQ,NSE,NSE,0.5914742451154478,0.3865720201124038,0.21176612526203334
